Player,G,eFG%,TRB,AST,STL,BLK,TOV,PTS,AGE,YRS,POS
De'Anthony Melton,73,0.504,328,194,104,39,112,791,23,2,SG
Deividas Sirvydis,3,0.15,6,1,3,1,0,3,21,0,SG
DeJon Jarreau,1,0,0,0,0,0,0,0,24,3,SG
Delon Wright,77,0.535,220,188,93,19,45,342,29,8,SG
Dennis Schröder,64,0.49,214,296,53,8,143,867,28,7,SG
Denzel Valentine,24,0.523,42,11,8,0,12,69,28,7,SG
Derrick White,75,0.493,261,366,64,58,119,992,27,6,SG
Desmond Bane,76,0.565,334,208,92,29,111,1384,23,2,SG
Devin Booker,68,0.53,342,329,77,26,162,1822,25,4,SG
Didi Louzada,9,0.5,17,5,2,2,5,35,22,1,SG
Donovan Mitchell,67,0.533,282,358,99,12,200,1733,25,4,SG
Donte DiVincenzo,42,0.461,170,118,48,8,72,380,25,4,SG
Duncan Robinson,79,0.559,203,129,42,14,60,863,27,6,SG
Elijah Hughes,36,0.413,58,22,14,8,17,126,23,2,SG
Eric Gordon,57,0.585,113,154,28,18,107,765,33,12,SG
Evan Fournier,80,0.541,210,171,79,20,105,1125,29,8,SG
Frank Ntilikina,58,0.484,79,69,27,7,31,240,23,2,SG
Furkan Korkmaz,67,0.469,175,127,33,9,48,509,24,3,SG
Gabe York,2,0.357,2,4,2,1,1,8,28,7,SG
Gabriel Lundberg,4,0.342,7,11,3,0,3,13,27,6,SG
Garrett Temple,59,0.476,143,74,43,23,42,309,35,14,SG
Garrison Mathews,65,0.55,190,64,57,24,41,650,25,4,SG
Gary Harris,61,0.539,122,108,59,9,61,679,27,6,SG
Gary Payton II,71,0.679,247,64,96,22,40,502,29,8,SG
Gary Trent Jr.,70,0.511,191,141,122,19,73,1283,23,2,SG
Grayson Allen,66,0.588,222,100,46,18,43,733,26,5,SG
Hamidou Diallo,58,0.518,277,73,71,17,58,636,23,2,SG
Isaiah Joe,55,0.477,56,35,14,3,19,198,22,1,SG
Jaden Springer,2,1,2,0,0,2,1,2,19,-2,SG
Jahmi'us Ramsey,19,0.457,13,7,1,1,5,60,20,-1,SG
Jalen Brunson,79,0.549,309,377,66,3,124,1285,25,4,SG
Jalen Green,67,0.508,226,176,44,18,135,1157,19,-2,SG
James Bouknight,31,0.408,52,26,7,1,15,142,21,0,SG
Jared Butler,42,0.497,45,63,17,8,33,161,21,0,SG
Jarrett Culver,37,0.422,48,33,20,5,20,130,22,1,SG
Jarron Cumberland,3,0.5,3,1,0,0,0,2,24,3,SG
Jay Scrubb,18,0.457,16,8,4,3,7,49,21,0,SG
Jaylen Morris,3,0,2,2,0,0,1,2,26,5,SG
Jaylen Nowell,62,0.551,123,130,27,10,36,527,22,1,SG
Joe Johnson,1,1,0,0,0,0,0,2,40,19,SG
Joe Wieskamp,29,0.482,14,9,4,3,2,61,22,1,SG
Joel Ayayi,7,0.167,3,4,0,0,0,2,21,0,SG
John Konchar,72,0.615,329,109,45,22,29,349,25,4,SG
Jordan Clarkson,79,0.504,273,194,66,16,129,1266,29,8,SG
Jordan Goodwin,2,0,1,0,0,0,0,0,23,2,SG
Jordan Poole,76,0.548,260,304,60,23,187,1405,22,1,SG
Jordan Schakel,4,0.136,8,0,1,0,1,5,23,2,SG
Josh Christopher,74,0.504,186,150,65,13,114,587,20,-1,SG
Josh Green,67,0.563,161,79,45,14,44,319,21,0,SG
Josh Hart,54,0.569,388,224,61,13,114,807,26,5,SG
Josh Okogie,49,0.471,70,25,26,12,23,133,23,2,SG
Josh Richardson,65,0.534,185,115,56,29,66,666,28,7,SG
Kentavious Caldwell-Pope,77,0.531,261,145,83,26,97,1018,28,7,SG
Keon Johnson,37,0.415,81,76,28,12,46,267,19,-2,SG
Klay Thompson,32,0.529,125,88,16,17,43,652,31,10,SG
Kyle Guy,19,0.508,17,17,7,1,13,74,24,3,SG
Landry Shamet,69,0.521,126,108,28,9,41,573,24,3,SG
Langston Galloway,7,0.269,18,12,1,0,6,14,30,9,SG
Lindy Waters III,25,0.557,73,24,19,8,11,199,24,3,SG
Lonnie Walker IV,70,0.48,181,152,44,19,71,849,23,2,SG
Luguentz Dort,51,0.493,212,88,46,18,88,877,22,1,SG
Luke Kennard,70,0.598,229,146,42,6,60,833,25,4,SG
M.J. Walker,2,0,1,1,2,0,0,0,23,2,SG
Mac McClung,2,0.583,3,1,1,1,3,8,23,2,SG
Malik Beasley,79,0.532,227,116,43,12,43,953,25,4,SG
Malik Monk,76,0.578,256,218,61,29,122,1048,23,2,SG
Marcus Garrett,12,0.262,23,7,5,3,2,13,23,2,SG
Markus Howard,31,0.525,12,7,9,0,7,126,22,1,SG
Mason Jones,4,0.5,10,4,2,0,1,27,23,2,SG
Matisse Thybulle,66,0.575,151,75,115,71,39,379,24,3,SG
Matt Mooney,1,0,0,0,1,0,1,0,24,3,SG
Matt Thomas,40,0.541,50,20,8,3,8,161,27,6,SG
Melvin Frazier,3,0.281,13,1,1,0,3,32,25,4,SG
Miye Oni,16,0.278,7,5,0,0,1,5,24,3,SG
Moses Moody,52,0.546,80,23,7,10,13,228,19,-2,SG
Nate Hinton,2,0,0,0,0,0,1,0,22,1,SG
Nickeil Alexander-Walker,65,0.449,187,156,46,23,93,692,23,2,SG
Nik Stauskas,8,0.5,3,2,0,0,1,18,28,7,SG
Patty Mills,81,0.551,156,183,51,17,73,923,33,12,SG
PJ Dozier,18,0.439,63,29,11,6,13,97,25,4,SG
Quentin Grimes,46,0.557,94,44,31,11,28,275,21,0,SG
Quinndary Weatherspoon,11,0.595,14,5,1,1,3,30,25,4,SG
R.J. Hampton,64,0.453,194,158,42,13,87,489,20,-1,SG
Rayjon Tucker,5,0.889,8,10,4,0,1,21,24,3,SG
Reggie Jackson,75,0.46,271,359,55,15,173,1263,31,10,SG
RJ Nembhard Jr.,14,0.333,7,12,1,0,3,15,22,1,SG
Rob Edwards,2,0.375,3,0,0,0,1,3,25,4,SG
Rodney McGruder,51,0.564,111,48,21,7,24,273,30,9,SG
Romeo Langford,48,0.51,108,21,22,16,16,218,22,1,SG
Sam Merrill,6,0.479,7,4,0,0,2,25,25,4,SG
Scottie Lewis,2,0,0,1,1,0,0,1,21,0,SG
Scotty Hopson,1,0.5,1,1,0,0,2,4,32,11,SG
Seth Curry,64,0.594,200,230,53,14,109,960,31,10,SG
Shake Milton,55,0.483,142,139,28,17,44,450,25,4,SG
Shaq Buchanan,2,0.25,2,2,1,0,2,2,25,4,SG
Shaquille Harrison,2,0.333,4,3,1,1,2,4,28,7,SG
Skylar Mays,28,0.563,25,17,7,0,10,80,24,3,SG
Sterling Brown,49,0.471,149,34,14,7,23,160,26,5,SG
Talen Horton-Tucker,60,0.462,193,159,59,29,82,597,21,0,SG
Terence Davis,30,0.515,94,40,25,11,33,311,24,3,SG
Terrence Ross,63,0.467,161,116,28,12,75,629,30,9,SG
Terry Rozier,73,0.539,315,326,93,25,96,1408,27,6,SG
Tim Hardaway Jr.,42,0.491,156,92,38,6,34,598,29,8,SG
Tomáš Satoranský,55,0.406,126,184,29,5,46,198,30,9,SG
Tony Snell,53,0.535,103,28,16,9,19,187,30,9,SG
Trayvon Palmer,1,0,2,0,0,0,1,0,27,6,SG
Trevelin Queen,10,0.591,16,4,5,1,7,43,24,3,SG
Ty Jerome,48,0.46,78,109,30,5,37,340,24,3,SG
Tyler Hall,1,0,0,0,0,0,0,0,24,3,SG
Tyler Herro,66,0.525,329,263,44,8,174,1367,22,1,SG
Tyrese Haliburton,77,0.562,311,628,134,49,199,1181,21,0,SG
Tyrone Wallace,6,0.4,8,1,3,1,2,17,27,6,SG
Victor Oladipo,8,0.582,23,28,5,1,16,99,29,8,SG
Vit Krejci,30,0.503,101,57,19,8,29,187,21,0,SG
Wayne Ellington,43,0.586,77,30,23,5,19,287,34,13,SG
Wayne Selden,3,0.375,1,1,0,0,0,5,27,6,SG
Wesley Matthews,49,0.516,92,36,23,8,18,249,35,14,SG
Will Barton,71,0.525,340,276,55,31,127,1043,31,10,SG
Xavier Moon,10,0.539,14,24,7,3,6,58,27,6,SG
Zach LaVine,67,0.554,308,303,41,23,171,1635,26,5,SG
