Player,G,eFG%,TRB,AST,STL,BLK,TOV,PTS,AGE,YRS,POS
Marcus Morris,54,0.507,239,113,28,18,69,830,32,11,PF
Markieff Morris,17,0.531,45,23,6,1,20,129,32,11,PF
Marquese Chriss,34,0.493,103,17,13,12,17,154,24,3,PF
Marvin Bagley III,48,0.53,338,36,22,18,39,540,22,1,PF
Maxi Kleber,59,0.516,350,68,30,58,47,411,30,9,PF
Miles Bridges,80,0.554,559,300,74,67,150,1613,23,2,PF
Moses Wright,4,0.25,3,2,0,1,0,5,23,2,PF
Nathan Knight,37,0.534,85,22,7,8,18,138,24,3,PF
Nicolas Batum,59,0.602,254,100,58,42,40,491,33,12,PF
Obi Toppin,72,0.586,268,77,25,33,56,648,23,2,PF
Otto Porter Jr.,63,0.56,362,94,68,29,37,515,28,7,PF
P.J. Tucker,71,0.577,387,149,58,15,66,539,36,15,PF
Pascal Siakam,68,0.525,580,360,85,42,181,1551,27,6,PF
Patrick Williams,17,0.603,69,15,9,9,16,153,20,-1,PF
Paul George,31,0.493,213,176,67,13,126,754,31,10,PF
Petr Cornelie,13,0.367,14,3,1,1,4,14,26,5,PF
Reggie Perry,10,0.525,47,12,9,6,11,92,21,0,PF
Robert Covington,71,0.548,391,92,103,91,75,604,31,10,PF
Rodney Hood,52,0.465,77,38,15,6,11,163,29,8,PF
Rudy Gay,55,0.507,242,56,25,19,47,446,35,14,PF
Rui Hachimura,42,0.563,160,48,23,9,33,475,23,2,PF
Sam Dekker,1,0,0,0,0,0,0,0,27,6,PF
Sandro Mamukelashvili,41,0.591,82,22,9,9,15,154,22,1,PF
Santi Aldama,32,0.424,87,21,6,10,16,132,21,0,PF
Scottie Barnes,74,0.524,557,256,80,55,136,1134,20,-1,PF
Sekou Doumbouya,2,0.688,6,0,3,2,2,14,21,0,PF
Semi Ojeleye,30,0.379,74,9,7,6,9,98,27,6,PF
Stanley Johnson,48,0.532,155,80,43,14,35,320,25,4,PF
Taurean Prince,69,0.564,174,68,47,23,53,502,27,6,PF
Terry Taylor,33,0.641,172,41,14,8,23,318,22,1,PF
Thaddeus Young,52,0.55,208,104,54,18,52,322,33,12,PF
Tobias Harris,73,0.532,496,252,47,43,116,1257,29,8,PF
Trey Lyles,75,0.526,379,88,29,32,73,786,26,5,PF
Tristan Thompson,57,0.53,288,34,23,21,45,344,30,9,PF
Tyler Cook,20,0.605,53,3,4,4,7,67,24,3,PF
Usman Garuba,24,0.489,83,17,10,11,6,48,19,-2,PF
Vlatko ?an?ar,15,0.646,31,17,2,3,9,62,24,3,PF
Wendell Carter Jr.,62,0.576,648,171,36,43,117,931,22,1,PF
Wenyen Gabriel,26,0.527,97,14,5,11,16,141,24,3,PF
Xavier Tillman Sr.,53,0.477,161,62,49,15,34,252,23,2,PF
Zeke Nnaji,41,0.616,147,17,16,13,23,270,21,0,PF
Aaron Holiday,63,0.504,122,153,42,9,67,400,25,4,PG
Brad Wanamaker,23,0.39,39,55,7,6,23,83,32,11,PG
Brandon Goodwin,36,0.477,67,91,25,1,36,171,26,5,PG
Brandon Knight,5,0.48,8,8,1,0,4,32,30,9,PG
Brandon Williams,24,0.427,74,94,24,10,58,309,22,1,PG
Cameron Payne,58,0.469,175,282,40,17,103,626,27,6,PG
Carlik Jones,5,0.111,3,5,1,0,3,4,24,3,PG
Cassius Winston,7,0.455,1,7,0,0,3,14,23,2,PG
Cat Barber,3,0,3,3,0,0,1,0,27,6,PG
Chris Chiozza,34,0.401,36,65,13,0,32,67,26,5,PG
Chris Paul,65,0.536,283,702,121,20,153,958,36,15,PG
Coby White,61,0.539,182,176,29,11,70,772,21,0,PG
Cole Anthony,65,0.464,348,369,46,17,170,1062,21,0,PG
Cory Joseph,65,0.526,174,237,42,17,85,521,30,9,PG
D.J. Augustin,55,0.577,68,107,17,1,56,294,34,13,PG
Dalano Banton,64,0.443,124,99,28,10,53,205,22,1,PG
Damian Lillard,29,0.486,120,212,17,11,83,695,31,10,PG
D'Angelo Russell,65,0.502,216,460,62,22,165,1176,25,4,PG
Darius Garland,68,0.536,224,583,89,7,248,1473,22,1,PG
Darren Collison,3,0.286,4,2,1,0,1,4,34,13,PG
David Duke Jr.,22,0.403,67,17,14,7,9,104,22,1,PG
Davion Mitchell,75,0.477,166,313,55,24,114,861,23,2,PG
De'Aaron Fox,59,0.506,231,330,68,25,168,1367,24,3,PG
Dejounte Murray,68,0.5,563,627,138,23,180,1438,25,4,PG
Dennis Smith Jr.,37,0.434,88,132,45,12,51,206,24,3,PG
Derrick Rose,26,0.513,78,103,22,12,39,311,33,12,PG
Derrick Walton,3,0.288,10,21,7,4,11,19,26,5,PG
Devin Cannady,5,0.511,6,10,5,3,5,50,25,4,PG
Devon Dotson,11,0.522,9,15,1,0,5,29,22,1,PG
Devonte' Graham,76,0.481,177,316,71,12,105,902,26,5,PG
Duane Washington Jr.,48,0.5,83,85,26,3,57,473,21,0,PG
Elfrid Payton,50,0.394,88,99,25,6,47,150,27,6,PG
Emmanuel Mudiay,2,0,0,4,1,0,1,3,25,4,PG
Eric Bledsoe,54,0.475,182,225,69,19,116,534,32,11,PG
Facundo Campazzo,65,0.459,117,220,63,23,67,332,30,9,PG
Frank Jackson,53,0.491,87,55,27,9,38,560,23,2,PG
Fred VanVleet,65,0.513,289,434,111,35,170,1320,27,6,PG
Gabe Vincent,68,0.533,126,210,62,12,98,591,25,4,PG
George Hill,54,0.504,155,120,42,6,41,334,35,14,PG
Goran Dragi?,21,0.43,65,86,19,4,34,157,35,14,PG
Hassani Gravett,8,0.618,21,20,5,1,9,50,25,4,PG
Immanuel Quickley,78,0.487,247,275,54,3,99,882,22,1,PG
Isaiah Thomas,22,0.485,29,34,7,5,15,184,32,11,PG
Ish Smith,65,0.459,140,244,47,23,78,410,33,12,PG
Ja Morant,57,0.53,325,384,66,22,196,1564,22,1,PG
Jalen Suggs,48,0.4,171,209,59,19,143,564,20,-1,PG
James Harden,65,0.485,500,667,82,36,284,1432,32,11,PG
JaQuori McLaughlin,4,0,0,2,0,0,0,0,24,3,PG
Jared Harper,5,0.635,2,14,4,1,2,37,24,3,PG
Javonte Smart,17,0.383,24,16,6,3,11,51,22,1,PG
Jaysean Paige,1,0,1,1,0,0,1,0,27,6,PG
Jeff Dowtin,9,0.327,18,10,5,1,5,19,24,3,PG
Jevon Carter,66,0.518,110,96,24,14,34,277,26,5,PG
Jordan McLaughlin,62,0.508,94,180,57,10,38,233,25,4,PG
Jose Alvarado,54,0.5,100,152,71,7,40,330,23,2,PG
Jrue Holiday,67,0.57,301,457,108,29,183,1225,31,10,PG
Justin Robinson,25,0.398,21,32,9,1,17,78,24,3,PG
Keifer Sykes,32,0.434,45,62,12,4,33,180,28,7,PG
Kemba Walker,37,0.501,111,131,26,7,48,431,31,10,PG
Kevin Pangos,24,0.391,11,30,3,0,7,39,29,8,PG
Kevin Porter Jr.,61,0.511,267,376,69,22,192,949,21,0,PG
Killian Hayes,66,0.431,210,277,78,35,111,453,20,-1,PG
Kira Lewis Jr.,24,0.449,39,49,11,1,26,141,20,-1,PG
Kris Dunn,14,0.436,49,79,23,3,32,106,27,6,PG
Kyle Lowry,63,0.555,282,474,67,17,168,844,35,14,PG
Kyrie Irving,29,0.55,127,167,41,17,73,796,29,8,PG
LaMelo Ball,75,0.517,501,571,119,30,245,1508,20,-1,PG
Lance Stephenson,46,0.497,127,165,24,4,72,384,31,10,PG
Lindell Wigginton,19,0.5,25,23,5,1,12,80,23,2,PG
Lonzo Ball,35,0.567,190,178,64,31,82,455,24,3,PG
Lou Williams,56,0.448,87,105,28,3,43,354,35,14,PG
Luka Don?i?,65,0.529,593,568,75,36,292,1847,22,1,PG
Malachi Flynn,44,0.475,63,70,20,4,13,189,23,2,PG
Malcolm Brogdon,36,0.501,185,212,30,14,77,687,29,8,PG
Malik Newman,1,0.6,1,1,0,0,1,8,24,3,PG
Marcus Smart,71,0.501,270,417,119,18,159,861,27,6,PG
Markelle Fultz,18,0.486,49,99,20,5,40,195,23,2,PG
McKinley Wright IV,5,0.833,0,3,0,0,1,5,23,2,PG
Mike Conley,72,0.542,217,385,96,21,123,986,34,13,PG
Miles McBride,40,0.375,42,41,14,1,5,89,21,0,PG
Monte Morris,75,0.564,226,333,56,14,78,945,26,5,PG
Mychal Mulder,17,0.422,24,5,4,2,8,69,27,6,PG
Myles Powell,11,0.324,6,3,1,0,3,13,24,3,PG
Patrick Beverley,58,0.501,240,268,67,52,73,533,33,12,PG
Payton Pritchard,71,0.564,134,139,25,6,41,442,24,3,PG
Rajon Rondo,39,0.474,108,170,30,6,68,186,35,14,PG
Raul Neto,70,0.502,134,217,55,3,79,526,29,8,PG
Ricky Rubio,34,0.434,141,225,49,7,90,445,31,10,PG
Russell Westbrook,78,0.476,580,550,75,20,295,1441,33,12,PG
Ryan Arcidiacono,10,0.667,8,4,1,0,3,16,27,6,PG
Saben Lee,37,0.429,87,107,36,12,36,208,22,1,PG
Shai Gilgeous-Alexander,56,0.496,278,331,71,46,154,1371,23,2,PG
Sharife Cooper,13,0.25,5,5,0,0,5,7,20,-1,PG
Spencer Dinwiddie,67,0.493,279,346,44,13,104,919,28,7,PG
Stephen Curry,64,0.554,335,404,85,23,206,1630,33,12,PG
T.J. McConnell,27,0.505,90,131,29,10,29,229,29,8,PG
Théo Maledon,51,0.445,131,111,31,11,65,361,20,-1,PG
Tim Frazier,12,0.378,19,34,3,1,15,39,31,10,PG
Trae Young,76,0.536,284,737,72,7,303,2155,23,2,PG
Tre Jones,69,0.504,155,233,42,7,46,413,22,1,PG
Tre Mann,60,0.476,171,91,47,12,71,625,20,-1,PG
Tremont Waters,3,0.357,4,7,5,0,4,10,24,3,PG
